Time [s],Time Change [s],Baro_P [m],Kalman_P [m],Kalman_V [m/s],Kalman_A [m/s^2],Kalman_Gain_P,Kalman_Uncertainty_P
16924,0.0200,122.74,259.23,-142.72,-15.13,0.06260,0.03130
16944,0.0200,122.74,248.02,-149.62,-15.78,0.06248,0.03124
16966,0.0220,122.74,237.10,-156.00,-16.37,0.06255,0.03128
16992,0.0260,117.23,225.74,-162.24,-16.94,0.06300,0.03150
17012,0.0200,117.23,215.88,-167.83,-17.45,0.06285,0.03143
17032,0.0200,117.23,206.54,-172.92,-17.92,0.06271,0.03136
17054,0.0220,117.23,197.36,-177.57,-18.33,0.06277,0.03139
17075,0.0210,117.31,188.84,-181.75,-18.71,0.06273,0.03137
17095,0.0200,117.31,180.95,-185.49,-19.04,0.06261,0.03130
17115,0.0200,117.31,173.50,-188.83,-19.32,0.06249,0.03124
17137,0.0220,117.31,166.08,-191.83,-19.58,0.06256,0.03128
17158,0.0210,129.09,159.99,-193.88,-19.73,0.06254,0.03127
17185,0.0270,129.09,153.13,-195.70,-19.86,0.06307,0.03154
17205,0.0200,129.09,147.94,-197.10,-19.96,0.06292,0.03146
17227,0.0220,129.09,142.69,-198.27,-20.03,0.06297,0.03149
17248,0.0210,152.44,139.40,-197.99,-19.96,0.06292,0.03146
17268,0.0200,152.44,136.50,-197.55,-19.88,0.06278,0.03139
17288,0.0200,152.44,133.79,-196.96,-19.78,0.06265,0.03132
17310,0.0220,152.44,130.90,-196.25,-19.67,0.06271,0.03135
17331,0.0210,185.83,130.47,-193.73,-19.39,0.06268,0.03134
17356,0.0250,185.83,129.42,-191.19,-19.09,0.06302,0.03151
17376,0.0200,185.83,129.38,-188.56,-18.80,0.06287,0.03143
17398,0.0220,185.83,129.04,-185.95,-18.51,0.06292,0.03146
17419,0.0210,215.63,130.82,-181.81,-18.07,0.06287,0.03144
17439,0.0200,215.63,132.73,-177.78,-17.64,0.06273,0.03137
17459,0.0200,215.63,134.58,-173.85,-17.23,0.06260,0.03130
17481,0.0220,215.63,136.07,-170.01,-16.82,0.06267,0.03133
17502,0.0210,223.89,138.22,-165.83,-16.38,0.06264,0.03132
17522,0.0200,223.89,140.46,-161.76,-15.95,0.06251,0.03126
17549,0.0270,223.89,141.63,-157.78,-15.53,0.06305,0.03153
17571,0.0220,223.89,143.56,-153.81,-15.11,0.06309,0.03154
17592,0.0210,240.86,146.67,-149.09,-14.62,0.06303,0.03151
17612,0.0200,240.86,149.79,-144.52,-14.15,0.06288,0.03144
17632,0.0200,240.86,152.79,-140.14,-13.70,0.06274,0.03137
17654,0.0220,240.86,155.43,-135.90,-13.26,0.06280,0.03140
17675,0.0210,283.11,160.77,-129.68,-12.64,0.06275,0.03138
17695,0.0200,283.11,165.99,-123.74,-12.04,0.06262,0.03131
17715,0.0200,283.11,170.99,-118.08,-11.47,0.06250,0.03125
17742,0.0270,283.11,175.07,-112.60,-10.91,0.06304,0.03152
17763,0.0210,365.73,184.86,-103.16,-9.98,0.06298,0.03149
17783,0.0200,365.73,194.29,-94.24,-9.10,0.06283,0.03142
17803,0.0200,365.73,203.27,-85.81,-8.27,0.06270,0.03135
17825,0.0220,365.73,211.69,-77.82,-7.49,0.06276,0.03138
17846,0.0210,436.87,224.28,-66.71,-6.40,0.06272,0.03136
17866,0.0200,436.87,236.34,-56.25,-5.39,0.06259,0.03129
17886,0.0200,436.87,247.81,-46.41,-4.43,0.06247,0.03123
17908,0.0220,436.87,258.67,-37.11,-3.53,0.06254,0.03127
17936,0.0280,477.86,271.54,-26.11,-2.46,0.06317,0.03159
17956,0.0200,477.86,284.05,-15.79,-1.47,0.06301,0.03151
17976,0.0200,477.86,295.94,-6.14,-0.54,0.06286,0.03143
17998,0.0220,477.86,307.26,2.95,0.33,0.06291,0.03145
18019,0.0210,621.50,327.07,18.63,1.84,0.06286,0.03143
18039,0.0200,621.50,345.89,33.27,3.24,0.06272,0.03136
18059,0.0200,621.50,363.76,46.94,4.54,0.06259,0.03130
18081,0.0220,621.50,380.88,59.77,5.76,0.06265,0.03133
18102,0.0210,930.32,416.46,87.04,8.36,0.06262,0.03131
18127,0.0250,930.32,450.86,112.86,10.81,0.06296,0.03148
18147,0.0200,930.32,483.10,136.86,13.08,0.06282,0.03141
18169,0.0220,930.32,514.04,159.31,15.20,0.06287,0.03143
18190,0.0210,993.58,547.30,183.36,17.47,0.06282,0.03141
18210,0.0200,993.58,578.72,205.66,19.57,0.06268,0.03134
18230,0.0200,993.58,608.53,226.35,21.51,0.06256,0.03128
18252,0.0220,993.58,637.32,245.65,23.30,0.06262,0.03131
18273,0.0210,1004.86,665.16,264.07,25.01,0.06259,0.03130
18293,0.0200,1004.86,691.34,281.06,26.59,0.06247,0.03124
18320,0.0270,1004.86,718.21,297.12,28.05,0.06301,0.03150
18342,0.0220,1004.86,742.42,311.79,29.39,0.06305,0.03152
18363,0.0210,1028.56,766.58,326.40,30.72,0.06299,0.03149
18383,0.0200,1028.56,789.17,339.75,31.93,0.06284,0.03142
18403,0.0200,1028.56,810.55,351.93,33.03,0.06270,0.03135
18425,0.0220,1028.56,831.50,363.11,34.03,0.06276,0.03138
18446,0.0210,1034.58,851.39,373.53,34.95,0.06272,0.03136
18466,0.0200,1034.58,869.86,382.92,35.78,0.06259,0.03129
18486,0.0200,1034.58,887.34,391.37,36.51,0.06247,0.03123
18513,0.0270,1034.58,906.53,399.20,37.17,0.06300,0.03150
18534,0.0210,1060.72,924.10,407.27,37.86,0.06295,0.03147
18554,0.0200,1060.72,940.32,414.42,38.47,0.06280,0.03140
18574,0.0200,1060.72,955.64,420.75,38.99,0.06266,0.03133
18596,0.0220,1060.72,970.92,426.36,39.44,0.06272,0.03136
18617,0.0210,1062.64,985.07,431.30,39.83,0.06268,0.03134
18637,0.0200,1062.64,998.01,435.50,40.16,0.06256,0.03128
18657,0.0200,1062.64,1010.22,439.06,40.42,0.06244,0.03122
18679,0.0220,1062.64,1022.56,442.05,40.62,0.06251,0.03125
18707,0.0280,1069.60,1037.14,444.93,40.78,0.06314,0.03157
18727,0.0200,1069.60,1047.53,446.93,40.89,0.06298,0.03149
18747,0.0200,1069.60,1057.31,448.40,40.96,0.06283,0.03142
18769,0.0220,1069.60,1067.33,449.42,40.97,0.06288,0.03144
18790,0.0210,1084.63,1077.27,450.67,41.01,0.06283,0.03142
18810,0.0200,1084.63,1086.19,451.41,41.00,0.06269,0.03135
18830,0.0200,1084.63,1094.56,451.71,40.95,0.06256,0.03128
18852,0.0220,1084.63,1103.27,451.62,40.85,0.06263,0.03131
18878,0.0260,1092.71,1113.62,451.57,40.75,0.06306,0.03153
18898,0.0200,1092.71,1120.77,450.89,40.61,0.06291,0.03145
18918,0.0200,1092.71,1127.47,449.86,40.43,0.06276,0.03138
18940,0.0220,1092.71,1134.57,448.53,40.22,0.06281,0.03141
18961,0.0210,1100.98,1141.30,447.23,40.02,0.06277,0.03138
18981,0.0200,1100.98,1147.17,445.59,39.79,0.06263,0.03132
19001,0.0200,1100.98,1152.64,443.67,39.54,0.06251,0.03125
19023,0.0220,1100.98,1158.57,441.51,39.25,0.06257,0.03129
19044,0.0210,1105.48,1163.95,439.25,38.96,0.06254,0.03127
19071,0.0270,1105.48,1171.38,436.78,38.63,0.06308,0.03154
19091,0.0200,1105.48,1175.43,433.82,38.28,0.06292,0.03146
19113,0.0220,1105.48,1179.98,430.69,37.90,0.06296,0.03148
19134,0.0210,1122.59,1184.85,428.17,37.59,0.06291,0.03145
19154,0.0200,1122.59,1188.98,425.41,37.26,0.06276,0.03138
19174,0.0200,1122.59,1192.80,422.45,36.91,0.06262,0.03131
19196,0.0220,1122.59,1197.12,419.32,36.54,0.06268,0.03134
19217,0.0210,1130.24,1201.19,416.34,36.19,0.06265,0.03132
19237,0.0200,1130.24,1204.57,413.16,35.82,0.06252,0.03126
19262,0.0250,1130.24,1209.59,409.83,35.42,0.06286,0.03143
19284,0.0220,1130.24,1213.05,406.20,35.01,0.06291,0.03145
19305,0.0210,1127.01,1215.65,402.23,34.56,0.06286,0.03143
19325,0.0200,1127.01,1217.63,398.13,34.11,0.06271,0.03136
19345,0.0200,1127.01,1219.43,393.94,33.66,0.06258,0.03129
19367,0.0220,1127.01,1221.78,389.68,33.19,0.06264,0.03132
19388,0.0210,1136.69,1224.13,385.76,32.75,0.06261,0.03130
19408,0.0200,1136.69,1225.90,381.73,32.31,0.06248,0.03124
19435,0.0270,1136.69,1229.95,377.62,31.85,0.06302,0.03151
19457,0.0220,1136.69,1231.86,373.23,31.37,0.06305,0.03153
19478,0.0210,1138.81,1233.35,368.85,30.90,0.06299,0.03149
19498,0.0200,1138.81,1234.33,364.40,30.42,0.06284,0.03142
19518,0.0200,1138.81,1235.18,359.91,29.94,0.06270,0.03135
19540,0.0220,1138.81,1236.56,355.40,29.46,0.06275,0.03137
19561,0.0210,1145.27,1237.83,351.12,29.00,0.06271,0.03135
19581,0.0200,1145.27,1238.63,346.79,28.54,0.06257,0.03129
19601,0.0200,1145.27,1239.31,342.42,28.08,0.06245,0.03122
19628,0.0270,1145.27,1242.06,338.02,27.60,0.06298,0.03149
19649,0.0210,1138.26,1242.18,333.07,27.08,0.06293,0.03146
19669,0.0200,1138.26,1241.91,328.12,26.56,0.06278,0.03139
19689,0.0200,1138.26,1241.57,323.20,26.05,0.06264,0.03132
19711,0.0220,1138.26,1241.76,318.30,25.54,0.06270,0.03135
19732,0.0210,1136.97,1241.47,313.32,25.03,0.06266,0.03133
19752,0.0200,1136.97,1240.81,308.36,24.52,0.06253,0.03126
19772,0.0200,1136.97,1240.12,303.45,24.01,0.06241,0.03120
19794,0.0220,1136.97,1239.94,298.57,23.51,0.06248,0.03124
19822,0.0280,1146.65,1241.89,294.13,23.03,0.06311,0.03155
19842,0.0200,1146.65,1241.41,289.54,22.56,0.06295,0.03147
19862,0.0200,1146.65,1240.90,284.99,22.09,0.06280,0.03140
19884,0.0220,1146.65,1240.85,280.48,21.63,0.06284,0.03142
19905,0.0210,1150.16,1240.68,276.13,21.18,0.06279,0.03140
19925,0.0200,1150.16,1240.19,271.81,20.74,0.06266,0.03133
19945,0.0200,1150.16,1239.66,267.52,20.30,0.06253,0.03126
19967,0.0220,1150.16,1239.58,263.26,19.86,0.06259,0.03129
19993,0.0260,1137.24,1239.55,258.31,19.35,0.06302,0.03151
20013,0.0200,1137.24,1237.97,253.35,18.85,0.06287,0.03143
20033,0.0200,1137.24,1236.40,248.48,18.36,0.06272,0.03136
20055,0.0220,1137.24,1235.30,243.69,17.88,0.06277,0.03139
20076,0.0210,328.09,1183.20,198.85,13.67,0.06273,0.03136
20096,0.0200,328.09,1133.40,156.72,9.72,0.06259,0.03130
20116,0.0200,328.09,1086.04,117.16,6.02,0.06247,0.03123
20138,0.0220,328.09,1041.06,79.81,2.53,0.06253,0.03127
20159,0.0210,66.92,981.74,31.81,-1.94,0.06250,0.03125
20186,0.0270,66.92,924.88,-14.07,-6.20,0.06304,0.03152
20206,0.0200,66.92,870.67,-56.91,-10.17,0.06288,0.03144
20228,0.0220,66.92,818.92,-97.14,-13.89,0.06292,0.03146
20249,0.0210,2.06,765.65,-137.99,-17.66,0.06287,0.03143
20269,0.0200,2.06,715.17,-176.03,-21.16,0.06272,0.03136
20289,0.0200,2.06,667.23,-211.46,-24.42,0.06259,0.03129
20311,0.0220,2.06,621.20,-244.65,-27.45,0.06264,0.03132
20332,0.0210,0.83,577.54,-275.60,-30.27,0.06261,0.03130
20352,0.0200,0.83,536.33,-304.30,-32.88,0.06248,0.03124
20377,0.0250,0.83,495.55,-331.37,-35.31,0.06282,0.03141
20399,0.0220,0.83,457.60,-356.41,-37.57,0.06287,0.03143
20420,0.0210,0.99,421.90,-379.51,-39.64,0.06282,0.03141
20440,0.0200,0.99,388.40,-400.75,-41.53,0.06268,0.03134
20460,0.0200,0.99,356.65,-420.28,-43.27,0.06254,0.03127
20482,0.0220,0.99,325.70,-438.33,-44.85,0.06261,0.03130
20503,0.0210,0.99,296.75,-454.84,-46.29,0.06257,0.03129
20523,0.0200,0.99,269.74,-469.85,-47.60,0.06245,0.03122
20543,0.0200,0.99,244.17,-483.50,-48.78,0.06233,0.03116
20571,0.0280,0.99,216.15,-496.33,-49.84,0.06296,0.03148
20592,0.0210,0.74,192.83,-507.60,-50.78,0.06291,0.03145
20612,0.0200,0.74,171.25,-517.64,-51.62,0.06276,0.03138
20632,0.0200,0.74,150.86,-526.58,-52.35,0.06262,0.03131
20654,0.0220,0.74,130.58,-534.59,-52.99,0.06268,0.03134
20675,0.0210,0.91,111.92,-541.56,-53.53,0.06264,0.03132
20695,0.0200,0.91,94.82,-547.56,-53.98,0.06251,0.03126
20715,0.0200,0.91,78.68,-552.71,-54.36,0.06239,0.03119
20737,0.0220,0.91,62.41,-557.13,-54.66,0.06246,0.03123
20763,0.0260,0.83,44.94,-560.90,-54.88,0.06290,0.03145
20783,0.0200,0.83,31.65,-563.63,-55.03,0.06275,0.03138
20803,0.0200,0.83,19.14,-565.69,-55.12,0.06262,0.03131
20825,0.0220,0.83,6.32,-567.19,-55.14,0.06268,0.03134
20846,0.0210,1.49,-5.16,-568.00,-55.11,0.06264,0.03132
20866,0.0200,1.49,-15.41,-568.22,-55.03,0.06251,0.03125
20886,0.0200,1.49,-25.02,-567.93,-54.90,0.06239,0.03119
20908,0.0220,1.49,-35.09,-567.22,-54.72,0.06246,0.03123
20929,0.0210,1.73,-43.97,-565.97,-54.50,0.06244,0.03122
20961,0.0320,1.73,-58.06,-564.48,-54.20,0.06344,0.03172
20981,0.0200,1.73,-64.86,-561.99,-53.87,0.06326,0.03163
21003,0.0220,1.73,-72.24,-559.19,-53.51,0.06328,0.03164
21024,0.0210,3.63,-78.46,-555.92,-53.10,0.06320,0.03160
21044,0.0200,3.63,-83.71,-552.32,-52.67,0.06303,0.03151
21064,0.0200,3.63,-88.58,-548.48,-52.22,0.06287,0.03143
21086,0.0220,3.63,-94.10,-544.44,-51.74,0.06291,0.03145
21107,0.0210,8.59,-98.37,-539.86,-51.22,0.06285,0.03143
21127,0.0200,8.59,-101.79,-535.06,-50.68,0.06270,0.03135
21152,0.0250,8.59,-107.38,-530.15,-50.11,0.06303,0.03152
21174,0.0220,8.59,-111.01,-524.88,-49.53,0.06306,0.03153
21195,0.0210,46.42,-111.43,-517.52,-48.75,0.06299,0.03150
21215,0.0200,46.42,-111.22,-510.15,-47.98,0.06283,0.03142
21235,0.0200,46.42,-110.91,-502.82,-47.22,0.06269,0.03134
21257,0.0220,46.42,-111.42,-495.53,-46.45,0.06273,0.03137
21278,0.0210,97.79,-108.07,-485.66,-45.45,0.06269,0.03134
21298,0.0200,97.79,-104.31,-475.96,-44.48,0.06255,0.03128
21318,0.0200,97.79,-100.63,-466.48,-43.52,0.06242,0.03121
21345,0.0270,97.79,-99.95,-457.15,-42.55,0.06295,0.03148
21366,0.0210,7.93,-102.17,-452.20,-42.02,0.06289,0.03145
21386,0.0200,7.93,-103.75,-447.15,-41.47,0.06274,0.03137
21406,0.0200,7.93,-105.15,-442.03,-40.93,0.06260,0.03130
21428,0.0220,7.93,-107.19,-436.87,-40.37,0.06266,0.03133
21449,0.0210,1.40,-109.00,-431.91,-39.84,0.06261,0.03131
21469,0.0200,1.40,-110.20,-426.86,-39.30,0.06248,0.03124
21489,0.0200,1.40,-111.26,-421.77,-38.76,0.06236,0.03118
21511,0.0220,1.40,-112.93,-416.64,-38.21,0.06243,0.03122
21537,0.0260,26.04,-114.36,-410.19,-37.52,0.06287,0.03143
21557,0.0200,26.04,-113.25,-403.59,-36.85,0.06272,0.03136
21577,0.0200,26.04,-112.11,-397.06,-36.18,0.06258,0.03129
21599,0.0220,26.04,-111.65,-390.60,-35.52,0.06264,0.03132
21620,0.0210,317.19,-92.50,-369.80,-33.54,0.06260,0.03130
21640,0.0200,317.19,-73.85,-349.99,-31.66,0.06247,0.03124
21660,0.0200,317.19,-56.03,-331.14,-29.87,0.06235,0.03118
21682,0.0220,317.19,-39.57,-313.13,-28.16,0.06242,0.03121
21710,0.0280,85.47,-39.91,-307.22,-27.54,0.06305,0.03152
21730,0.0200,85.47,-37.79,-301.23,-26.94,0.06289,0.03145
21750,0.0200,85.47,-35.71,-295.36,-26.35,0.06274,0.03137
21772,0.0220,85.47,-34.20,-289.61,-25.77,0.06279,0.03139
21793,0.0210,7.52,-37.29,-287.78,-25.56,0.06274,0.03137
21813,0.0200,7.52,-39.88,-285.80,-25.33,0.06260,0.03130
21833,0.0200,7.52,-42.28,-283.70,-25.09,0.06247,0.03124
21855,0.0220,7.52,-45.03,-281.49,-24.84,0.06254,0.03127
21876,0.0210,233.77,-33.15,-268.02,-23.55,0.06250,0.03125
21901,0.0250,233.77,-22.66,-255.01,-22.31,0.06284,0.03142
21921,0.0200,233.77,-11.37,-242.52,-21.12,0.06270,0.03135
21943,0.0220,233.77,-0.99,-230.57,-19.99,0.06275,0.03137
21964,0.0210,969.07,55.29,-182.77,-15.57,0.06270,0.03135
21984,0.0200,969.07,109.04,-137.89,-11.44,0.06257,0.03128
22004,0.0200,969.07,160.15,-95.78,-7.56,0.06244,0.03122
22026,0.0220,969.07,208.74,-56.06,-3.91,0.06251,0.03125
22047,0.0210,1009.42,257.66,-16.74,-0.31,0.06248,0.03124
22067,0.0200,1009.42,304.22,20.08,3.06,0.06236,0.03118
22094,0.0270,1009.42,349.08,55.24,6.27,0.06289,0.03145
22116,0.0220,1009.42,391.78,88.23,9.27,0.06293,0.03147
22137,0.0210,866.82,423.38,111.95,11.42,0.06287,0.03144
22157,0.0200,866.82,453.30,134.02,13.42,0.06273,0.03136
22177,0.0200,866.82,481.70,154.54,15.27,0.06259,0.03129
22199,0.0220,866.82,509.01,173.73,16.99,0.06265,0.03132
22220,0.0210,661.73,522.00,181.44,17.66,0.06261,0.03130
22240,0.0200,661.73,534.13,188.48,18.27,0.06248,0.03124
22260,0.0200,661.73,545.63,194.90,18.82,0.06236,0.03118
22287,0.0270,661.73,557.87,200.93,19.33,0.06289,0.03145
22308,0.0210,13.63,527.63,174.09,16.84,0.06284,0.03142
22328,0.0200,13.63,498.67,148.83,14.50,0.06269,0.03135
22348,0.0200,13.63,471.12,125.09,12.31,0.06256,0.03128
22370,0.0220,13.63,445.06,102.65,10.24,0.06262,0.03131
22391,0.0210,2.06,419.36,80.93,8.24,0.06258,0.03129
22411,0.0200,2.06,394.82,60.53,6.36,0.06245,0.03123
22431,0.0200,2.06,371.47,41.38,4.61,0.06233,0.03117
22453,0.0220,2.06,349.27,23.32,2.95,0.06241,0.03120
22481,0.0280,19.58,329.11,6.89,1.44,0.06303,0.03152
22501,0.0200,19.58,309.77,-8.48,0.04,0.06288,0.03144
22521,0.0200,19.58,291.41,-22.84,-1.27,0.06273,0.03136
22543,0.0220,19.58,273.88,-36.32,-2.49,0.06278,0.03139
22564,0.0210,495.86,287.08,-25.35,-1.49,0.06273,0.03136
22584,0.0200,495.86,299.68,-15.06,-0.55,0.06259,0.03130
22604,0.0200,495.86,311.65,-5.43,0.33,0.06246,0.03123
22626,0.0220,495.86,323.05,3.65,1.16,0.06253,0.03126
22647,0.0210,244.67,318.23,-0.18,0.80,0.06250,0.03125
22667,0.0200,244.67,313.64,-3.77,0.48,0.06237,0.03119
22692,0.0250,244.67,309.22,-7.17,0.17,0.06272,0.03136
22714,0.0220,244.67,305.02,-10.36,-0.12,0.06277,0.03139
22735,0.0210,1.65,285.79,-25.37,-1.49,0.06272,0.03136
22755,0.0200,1.65,267.53,-39.38,-2.76,0.06259,0.03129
22775,0.0200,1.65,250.18,-52.46,-3.95,0.06246,0.03123
22797,0.0220,1.65,233.56,-64.72,-5.05,0.06253,0.03126
22818,0.0210,1.90,217.81,-76.15,-6.08,0.06249,0.03125
22838,0.0200,1.90,202.91,-86.77,-7.04,0.06237,0.03119
22858,0.0200,1.90,188.77,-96.65,-7.92,0.06226,0.03113
22886,0.0280,1.90,174.48,-106.04,-8.75,0.06289,0.03145
22907,0.0210,59.03,165.13,-111.85,-9.27,0.06284,0.03142
22927,0.0200,59.03,156.38,-117.18,-9.73,0.06270,0.03135
22947,0.0200,59.03,148.09,-122.05,-10.16,0.06256,0.03128
22969,0.0220,59.03,140.00,-126.54,-10.55,0.06262,0.03131
22990,0.0210,5.28,129.07,-133.27,-11.14,0.06258,0.03129
23010,0.0200,5.28,118.84,-139.44,-11.68,0.06246,0.03123
23030,0.0200,5.28,109.14,-145.10,-12.17,0.06234,0.03117
23052,0.0220,5.28,99.67,-150.30,-12.62,0.06241,0.03121
23078,0.0260,1.98,89.86,-155.30,-13.04,0.06285,0.03143
23098,0.0200,1.98,81.44,-159.75,-13.42,0.06271,0.03135
23118,0.0200,1.98,73.47,-163.78,-13.76,0.06257,0.03129
23140,0.0220,1.98,65.61,-167.44,-14.07,0.06263,0.03132
23161,0.0210,64.84,62.26,-167.60,-14.05,0.06259,0.03130
23181,0.0200,64.84,59.28,-167.59,-14.03,0.06247,0.03123
23201,0.0200,64.84,56.48,-167.43,-13.99,0.06235,0.03117
23223,0.0220,64.84,53.54,-167.15,-13.93,0.06242,0.03121
23244,0.0210,593.84,83.96,-140.76,-11.52,0.06240,0.03120
23271,0.0270,593.84,112.49,-115.46,-9.20,0.06293,0.03147
23291,0.0200,593.84,140.54,-91.64,-7.02,0.06278,0.03139
23313,0.0220,593.84,167.13,-69.17,-4.97,0.06283,0.03141
23334,0.0210,504.69,186.96,-52.46,-3.45,0.06278,0.03139
23354,0.0200,504.69,205.88,-36.78,-2.02,0.06264,0.03132
23374,0.0200,504.69,223.87,-22.09,-0.69,0.06251,0.03125
23396,0.0220,504.69,240.98,-8.24,0.57,0.06257,0.03129
23417,0.0210,2.48,225.91,-19.96,-0.50,0.06254,0.03127
23437,0.0200,2.48,211.59,-30.91,-1.49,0.06241,0.03121
23462,0.0250,2.48,197.74,-41.28,-2.42,0.06276,0.03138
23484,0.0220,2.48,184.62,-50.98,-3.29,0.06281,0.03140
23505,0.0210,2.72,172.20,-60.01,-4.11,0.06276,0.03138
23525,0.0200,2.72,160.47,-68.40,-4.86,0.06262,0.03131
23545,0.0200,2.72,149.32,-76.18,-5.55,0.06249,0.03124
23567,0.0220,2.72,138.58,-83.44,-6.20,0.06255,0.03128
23588,0.0210,434.38,155.43,-68.93,-4.87,0.06252,0.03126
23608,0.0200,434.38,171.54,-55.28,-3.63,0.06240,0.03120
23628,0.0200,434.38,186.88,-42.46,-2.47,0.06228,0.03114
23656,0.0280,434.38,201.33,-30.14,-1.35,0.06291,0.03146
23677,0.0210,16.36,189.11,-39.34,-2.17,0.06286,0.03143
23697,0.0200,16.36,177.54,-47.89,-2.94,0.06271,0.03136
23717,0.0200,16.36,166.55,-55.85,-3.66,0.06258,0.03129
23739,0.0220,16.36,155.99,-63.28,-4.32,0.06263,0.03132
23760,0.0210,0.83,145.04,-70.96,-5.01,0.06260,0.03130
23780,0.0200,0.83,134.70,-78.07,-5.64,0.06247,0.03123
23800,0.0200,0.83,124.88,-84.66,-6.23,0.06235,0.03117
23822,0.0220,0.83,115.39,-90.79,-6.77,0.06242,0.03121
23843,0.0210,30.59,108.31,-95.00,-7.13,0.06240,0.03120
23868,0.0250,30.59,101.21,-98.91,-7.47,0.06274,0.03137
23888,0.0200,30.59,94.93,-102.45,-7.78,0.06261,0.03130
23910,0.0220,30.59,88.78,-105.69,-8.05,0.06266,0.03133
23931,0.0210,54.80,84.57,-107.43,-8.19,0.06262,0.03131
23951,0.0200,54.80,80.70,-108.95,-8.32,0.06249,0.03125
23971,0.0200,54.80,77.04,-110.28,-8.42,0.06237,0.03119
23993,0.0220,54.80,73.37,-111.44,-8.51,0.06245,0.03122
24014,0.0210,1.32,66.68,-115.04,-8.82,0.06242,0.03121
24034,0.0200,1.32,60.45,-118.30,-9.10,0.06230,0.03115
24061,0.0270,1.32,53.73,-121.32,-9.35,0.06284,0.03142
24083,0.0220,1.32,47.94,-124.01,-9.57,0.06289,0.03144
24104,0.0210,78.81,47.43,-122.54,-9.42,0.06283,0.03142
24124,0.0200,78.81,47.10,-121.06,-9.27,0.06269,0.03134
24144,0.0200,78.81,46.81,-119.56,-9.12,0.06256,0.03128
24166,0.0220,78.81,46.35,-118.05,-8.96,0.06261,0.03131
24187,0.0210,156.46,50.91,-112.69,-8.46,0.06258,0.03129
24207,0.0200,156.46,55.39,-107.57,-7.99,0.06245,0.03123
24227,0.0200,156.46,59.67,-102.68,-7.53,0.06233,0.03117
24254,0.0270,156.46,63.16,-97.93,-7.09,0.06287,0.03143
24275,0.0210,20.66,58.56,-100.09,-7.27,0.06282,0.03141
24295,0.0200,20.66,54.30,-102.01,-7.43,0.06267,0.03134
24315,0.0200,20.66,50.29,-103.71,-7.57,0.06254,0.03127
24337,0.0220,20.66,46.29,-105.22,-7.69,0.06260,0.03130
24358,0.0210,3.72,41.55,-107.37,-7.87,0.06256,0.03128
24378,0.0200,3.72,37.18,-109.28,-8.02,0.06244,0.03122
24398,0.0200,3.72,33.04,-110.97,-8.16,0.06232,0.03116
24420,0.0220,3.72,28.92,-112.47,-8.28,0.06239,0.03120
24452,0.0320,256.00,39.94,-101.08,-7.23,0.06340,0.03170
24472,0.0200,256.00,51.70,-90.27,-6.25,0.06322,0.03161
24492,0.0200,256.00,62.89,-80.10,-5.32,0.06304,0.03152
24514,0.0220,256.00,73.42,-70.48,-4.44,0.06307,0.03154
24535,0.0210,8.92,67.97,-73.71,-4.73,0.06300,0.03150
24555,0.0200,8.92,62.87,-76.66,-4.98,0.06284,0.03142
24575,0.0200,8.92,58.05,-79.35,-5.22,0.06269,0.03135
24597,0.0220,8.92,53.33,-81.81,-5.43,0.06274,0.03137
24618,0.0210,15.53,49.35,-83.70,-5.59,0.06269,0.03135
24643,0.0250,15.53,45.26,-85.42,-5.73,0.06302,0.03151
24663,0.0200,15.53,41.79,-86.93,-5.85,0.06286,0.03143
24685,0.0220,15.53,38.34,-88.27,-5.96,0.06289,0.03145
24706,0.0210,410.90,60.01,-69.84,-4.29,0.06283,0.03142
24726,0.0200,410.90,80.70,-52.55,-2.73,0.06269,0.03134
24746,0.0200,410.90,100.37,-36.33,-1.26,0.06255,0.03127
24768,0.0220,410.90,119.06,-21.04,0.11,0.06260,0.03130
24789,0.0210,867.45,165.46,15.77,3.43,0.06256,0.03128
24809,0.0200,867.45,209.58,50.19,6.52,0.06243,0.03122
24829,0.0200,867.45,251.52,82.37,9.40,0.06231,0.03116
24857,0.0280,867.45,292.45,113.15,12.15,0.06294,0.03147
24878,0.0210,987.59,338.38,147.80,15.24,0.06287,0.03144
24898,0.0200,987.59,381.88,180.03,18.11,0.06272,0.03136
24918,0.0200,987.59,423.16,210.01,20.78,0.06258,0.03129
24940,0.0220,987.59,462.85,238.06,23.26,0.06264,0.03132
24961,0.0210,795.41,488.36,254.66,24.71,0.06259,0.03130
24981,0.0200,795.41,512.32,269.96,26.04,0.06246,0.03123
25001,0.0200,795.41,535.03,284.04,27.26,0.06234,0.03117
25023,0.0220,795.41,557.15,297.08,28.38,0.06241,0.03120
25049,0.0260,19.83,530.63,270.77,25.95,0.06284,0.03142
25069,0.0200,19.83,503.68,245.80,23.66,0.06270,0.03135
25089,0.0200,19.83,478.03,222.23,21.49,0.06256,0.03128
25111,0.0220,19.83,453.93,199.89,19.44,0.06261,0.03131
25132,0.0210,1.82,429.58,177.84,17.43,0.06257,0.03129
25152,0.0200,1.82,406.20,157.05,15.53,0.06244,0.03122
25172,0.0200,1.82,383.95,137.46,13.74,0.06232,0.03116
25194,0.0220,1.82,362.94,118.90,12.04,0.06240,0.03120
25215,0.0210,6.28,343.04,101.58,10.46,0.06237,0.03119
25242,0.0270,6.28,324.43,84.98,8.95,0.06290,0.03145
