P,T
-58.72249548,45.522
-57.51843049,45.628
-57.17437553,45.733
-57.43241827,45.838
-57.81946532,45.944
-57.13136752,46.049
-56.65569085,46.155
-57.51843049,46.26
-58.63649741,46.365
-57.94586125,46.471
-58.16086754,46.576
-56.83030439,46.681
-57.69045191,46.787
-56.91890426,46.892
-57.04535075,46.998
-57.17178631,47.103
-57.21479262,47.208
-58.98313345,47.314
-56.05353347,47.419
-57.21738329,47.526
-57.56143623,47.63
-57.34640503,47.735
-56.87073505,47.841
-57.25779868,47.946
-57.04793564,48.052
-57.22256462,48.157
-57.38941178,48.262
-58.12048775,48.368
-56.87331417,48.473
-57.69045191,48.579
-55.97770221,48.684
-56.14211357,48.789
-55.96750694,48.895
-58.50749841,49
-57.30599159,49.105
-57.82468705,49.211
-58.12048775,49.316
-58.11786679,49.422
-56.23069844,49.527
-55.62592798,49.632
-57.85985697,49.738
-56.40275596,49.843
-56.61525171,49.949
-57.38941178,50.054
-57.22256462,50.159
-57.00492543,50.265
-57.94847645,50.37
-56.70384689,50.476
-56.44576971,50.581
-57.56143623,50.686
-56.83288207,50.792
-56.27115428,50.897
-56.61525171,51.002
-55.7145016,51.107
-56.2737132,51.212
-56.48621707,51.318
-55.4968759,51.423
-56.01817111,51.528
-56.70384689,51.634
-57.04793564,51.739
-57.47542451,51.845
-56.87589329,51.95
-56.1851274,52.055
-56.74685887,52.161
-56.74685887,52.266
-55.84355422,52.372
-55.93213542,52.477
-55.79545085,52.582
-57.60964901,52.688
-55.7145016,52.793
-56.40275596,52.899
-56.18768343,53.004
-57.17696475,53.109
-55.7145016,53.215
-56.40019271,53.32
-56.01817111,53.425
-54.76804615,53.531
-56.35974196,53.636
-55.49940884,53.742
-56.57224042,53.847
-56.96449698,53.952
-56.10420579,54.058
-57.55883402,54.163
-56.7898706,54.269
-56.83545975,54.374
-58.11786679,54.479
-56.22814096,54.585
-56.83288207,54.69
-56.87589329,54.796
-56.10420579,54.901
-56.14211357,55.006
-56.52666129,55.112
-56.91890426,55.217
-57.1339553,55.323
-56.23325592,55.428
-56.61525171,55.533
-57.0909456,55.639
-55.84609871,55.744
-55.07172285,55.849
-57.39200822,55.955
-56.40531921,56.06
-56.53436403,56.166
-55.79799389,56.271
-57.00492543,56.376
-55.49434295,56.482
-56.91890426,56.587
-56.40275596,56.693
-55.4968759,56.798
-55.93213542,56.903
-56.10165264,57.009
-56.52922887,57.114
-57.34900003,57.22
-55.06668583,57.325
-56.62039264,57.43
-56.01307059,57.536
-55.53989351,57.641
-55.67402227,57.746
-57.1339553,57.851
-56.10165264,57.956
-57.21997395,58.062
-55.45892103,58.167
-55.88911719,58.272
-55.11474588,58.378
-56.57737846,58.483
-57.05052054,58.589
-56.83288207,58.694
-56.06118858,58.799
-57.43761403,58.905
-55.37287876,59.01
-57.60444171,59.116
-57.1339553,59.221
-56.14722275,59.326
-56.87847241,59.432
-56.18768343,59.537
-54.94265224,59.643
-55.28683548,59.748
-54.85660391,59.853
-55.15524727,59.959
-56.57737846,60.064
-56.41044571,60.169
-55.97515339,60.275
-55.84609871,60.38
-55.80307998,60.486
-55.33238441,60.591
-57.0909456,60.696
-56.40275596,60.802
-57.35159502,60.907
-56.44576971,61.013
-56.83545975,61.118
-54.85660391,61.223
-56.40531921,61.329
-54.98567603,61.434
-56.4483344,61.54
-56.27627212,61.646
-56.06118858,61.75
-55.62846525,61.856
-55.84609871,61.961
-56.06118858,62.067
-56.57737846,62.172
-56.66083466,62.277
-57.39460465,62.383
-57.13654308,62.488
-56.31672771,62.593
-56.10165264,62.699
-56.19023946,62.804
-56.53179645,62.91
-56.31672771,63.015
-56.66340657,63.12
-55.58798253,63.226
-56.31416734,63.331
-57.82207618,63.437
-55.58798253,63.542
-55.67148355,63.647
-55.5854467,63.753
