Time (s),Altitude (m),Air pressure (mbar)
69.196,168.801,981.322
69.422,167.123,981.724
69.638,165.517,981.921
70.015,162.709,982.109
70.515,158.984,982.439
71.015,155.267,982.876
71.515,151.548,983.312
71.947,148.329,983.748
72.194,146.494,984.125
72.344,145.386,984.34
72.5,144.222,984.47
72.995,140.535,984.607
73.368,137.77,985.039
73.622,135.881,985.364
74.122,132.162,985.585
74.622,128.441,986.021
75.122,124.722,986.458
75.622,121.004,986.894
76.122,117.288,987.33
76.469,114.711,987.766
76.751,112.62,988.068
77.251,108.906,988.313
77.751,105.192,988.749
78.251,101.477,989.184
78.56,99.188,989.62
78.911,96.582,989.889
79.411,92.87,990.194
79.682,90.86,990.63
79.877,89.418,990.865
80.377,85.708,991.034
80.877,82.004,991.47
81.35,78.497,991.904
81.85,74.785,992.315
82.125,72.754,992.751
82.44,70.433,992.989
82.675,68.691,993.261
82.853,67.372,993.465
82.952,66.639,993.62
83.128,65.334,993.706
83.628,61.627,993.859
84.128,57.919,994.294
84.628,54.214,994.729
85.128,50.508,995.163
85.628,46.808,995.598
86.128,43.11,996.032
86.628,39.407,996.466
87.128,35.707,996.9
87.628,32.009,997.334
87.969,29.488,997.768
88.469,25.787,998.063
88.969,22.093,998.497
89.469,18.404,998.931
89.969,14.711,999.363
90.156,13.331,999.796
90.397,11.56,999.958
90.897,7.87,1000.166
91.397,4.184,1000.599
91.701,1.936,1001.031
91.903,0.45,1001.295
91.964,0,1001.469
