Time [s],Baro_P [m],Kalman_P [m],Kalman_V [m/s],Kalman_A [m/s^2],Kalman_Gain_P,Kalman_Uncertainty_P
11846,280.91,102.26,-67.95,-33.46,0.06348,0.00179
11896,280.91,110.36,-62.56,-31.07,0.06337,0.00179
11948,280.91,118.09,-57.44,-28.78,0.06342,0.00179
11999,336.37,129.15,-50.33,-25.88,0.06338,0.00179
12049,336.37,139.87,-43.51,-23.13,0.06328,0.00178
12099,336.37,150.22,-37.00,-20.53,0.06318,0.00178
12156,336.37,160.06,-30.85,-18.05,0.06362,0.00179
12207,373.97,172.16,-23.40,-15.21,0.06357,0.00179
12257,373.97,183.85,-16.29,-12.55,0.06345,0.00179
12307,373.97,195.12,-9.54,-10.05,0.06334,0.00179
12359,373.97,205.97,-3.12,-7.69,0.06338,0.00179
12410,385.56,217.19,3.45,-5.34,0.06335,0.00179
12460,385.56,227.99,9.67,-3.14,0.06324,0.00178
12510,385.56,238.39,15.57,-1.09,0.06314,0.00178
12562,385.56,248.45,21.16,0.83,0.06320,0.00178
12613,393.84,258.65,26.77,2.71,0.06317,0.00178
12663,393.84,268.43,32.05,4.46,0.06308,0.00178
12720,393.84,278.11,37.10,6.08,0.06351,0.00179
12772,393.84,287.28,41.83,7.58,0.06354,0.00179
12823,399.13,296.39,46.46,9.02,0.06349,0.00179
12873,399.13,305.09,50.79,10.33,0.06337,0.00179
12923,399.13,313.43,54.84,11.53,0.06326,0.00178
12975,399.13,321.54,58.64,12.61,0.06331,0.00179
13026,402.72,329.49,62.30,13.63,0.06327,0.00178
13076,402.72,337.05,65.68,14.55,0.06317,0.00178
13126,402.72,344.29,68.80,15.36,0.06307,0.00178
13178,402.72,351.35,71.71,16.08,0.06312,0.00178
13234,408.02,358.73,74.65,16.77,0.06348,0.00179
13284,408.02,365.37,77.25,17.37,0.06336,0.00179
13334,408.02,371.71,79.61,17.87,0.06324,0.00178
13386,408.02,377.90,81.78,18.29,0.06329,0.00178
13437,411.70,383.97,83.85,18.68,0.06325,0.00178
13487,411.70,389.67,85.69,18.99,0.06314,0.00178
13537,411.70,395.10,87.32,19.22,0.06304,0.00178
13589,411.70,400.42,88.78,19.37,0.06310,0.00178
13640,374.65,403.06,88.61,18.98,0.06308,0.00178
13690,374.65,405.45,88.29,18.55,0.06298,0.00178
13740,374.65,407.67,87.87,18.09,0.06289,0.00177
13798,374.65,410.38,87.45,17.59,0.06341,0.00179
13849,391.19,413.36,87.43,17.28,0.06337,0.00179
13899,391.19,416.07,87.27,16.93,0.06325,0.00178
13949,391.19,418.61,86.99,16.55,0.06314,0.00178
14001,391.19,421.14,86.62,16.13,0.06319,0.00178
14052,397.77,423.82,86.37,15.77,0.06316,0.00178
14102,397.77,426.24,86.00,15.38,0.06306,0.00178
14152,397.77,428.49,85.51,14.95,0.06296,0.00178
14204,397.77,430.74,84.93,14.49,0.06302,0.00178
14255,393.41,432.47,84.07,13.95,0.06301,0.00178
14310,393.41,434.35,83.15,13.37,0.06329,0.00178
14360,393.41,435.67,82.09,12.79,0.06318,0.00178
14412,393.41,437.01,80.96,12.18,0.06323,0.00178
14463,395.21,438.25,79.81,11.58,0.06319,0.00178
14513,395.21,439.29,78.58,10.96,0.06309,0.00178
14563,395.21,440.21,77.28,10.34,0.06299,0.00178
14615,395.21,441.15,75.94,9.70,0.06305,0.00178
14666,382.75,441.11,74.04,8.88,0.06303,0.00178
14716,382.75,440.92,72.10,8.08,0.06294,0.00177
14766,382.75,440.65,70.14,7.27,0.06285,0.00177
14818,382.75,440.43,68.16,6.47,0.06292,0.00177
14876,330.86,437.19,64.15,4.98,0.06343,0.00179
14926,330.86,433.47,60.17,3.54,0.06331,0.00179
14976,330.86,429.81,56.28,2.16,0.06320,0.00178
15028,330.86,426.29,52.47,0.83,0.06325,0.00178
15079,295.62,420.54,47.37,-0.91,0.06321,0.00178
15129,295.62,414.88,42.43,-2.58,0.06311,0.00178
15179,295.62,409.35,37.64,-4.16,0.06301,0.00178
15231,295.62,404.00,32.98,-5.67,0.06307,0.00178
15282,136.59,388.71,22.36,-9.18,0.06305,0.00178
15332,136.59,373.88,12.18,-12.48,0.06295,0.00178
15387,136.59,359.48,2.33,-15.59,0.06324,0.00178
15439,136.59,345.47,-7.08,-18.51,0.06328,0.00178
15490,41.01,325.86,-19.74,-22.49,0.06325,0.00178
15540,41.01,306.92,-31.78,-26.20,0.06314,0.00178
15590,41.01,288.64,-43.24,-29.65,0.06304,0.00178
15642,41.01,270.87,-54.22,-32.85,0.06309,0.00178
15693,5.59,251.51,-65.98,-36.28,0.06307,0.00178
15743,5.59,232.89,-77.10,-39.44,0.06297,0.00178
15793,5.59,214.94,-87.63,-42.35,0.06289,0.00177
15845,5.59,197.43,-97.69,-45.02,0.06295,0.00178
15896,4.19,180.55,-107.20,-47.47,0.06294,0.00177
15953,4.19,163.58,-116.48,-49.70,0.06338,0.00179
16003,4.19,147.98,-124.88,-51.71,0.06326,0.00178
16055,4.19,132.73,-132.86,-53.51,0.06330,0.00179
16106,3.62,118.15,-140.31,-55.11,0.06327,0.00178
16156,3.62,104.28,-147.20,-56.52,0.06316,0.00178
16206,3.62,90.97,-153.60,-57.73,0.06305,0.00178
16258,3.62,77.90,-159.65,-58.77,0.06311,0.00178
16309,3.29,65.49,-165.20,-59.64,0.06309,0.00178
16359,3.29,53.76,-170.25,-60.34,0.06299,0.00178
16409,3.29,42.54,-174.87,-60.88,0.06290,0.00177
16466,3.29,30.63,-179.47,-61.27,0.06334,0.00179
16517,2.79,20.22,-183.31,-61.51,0.06330,0.00179
16567,2.79,10.46,-186.70,-61.62,0.06319,0.00178
16617,2.79,1.16,-189.72,-61.59,0.06308,0.00178
16669,2.79,-8.06,-192.47,-61.44,0.06314,0.00178
16720,2.63,-16.66,-194.82,-61.17,0.06311,0.00178
16770,2.63,-24.64,-196.76,-60.79,0.06301,0.00178
16820,2.63,-32.22,-198.37,-60.31,0.06292,0.00177
16872,2.63,-39.76,-199.77,-59.72,0.06298,0.00178
16923,2.55,-46.72,-200.80,-59.03,0.06297,0.00178
16980,2.55,-54.40,-201.82,-58.24,0.06340,0.00179
17030,2.55,-60.32,-202.14,-57.36,0.06328,0.00178
17082,2.55,-66.26,-202.29,-56.39,0.06332,0.00179
17133,2.47,-71.64,-202.11,-55.36,0.06329,0.00178
17183,2.47,-76.49,-201.64,-54.26,0.06317,0.00178
17233,2.47,-81.02,-200.93,-53.09,0.06307,0.00178
17285,2.47,-85.61,-200.07,-51.87,0.06312,0.00178
17336,2.63,-89.66,-198.93,-50.58,0.06310,0.00178
17386,2.63,-93.23,-197.54,-49.25,0.06300,0.00178
17436,2.63,-96.51,-195.94,-47.87,0.06291,0.00177
17488,2.63,-99.88,-194.24,-46.44,0.06297,0.00178
17544,2.22,-103.67,-192.48,-44.96,0.06333,0.00179
17594,2.22,-106.04,-190.27,-43.45,0.06322,0.00178
17644,2.22,-108.17,-187.92,-41.91,0.06311,0.00178
17696,2.22,-110.41,-185.47,-40.34,0.06316,0.00178
17747,2.38,-112.20,-182.82,-38.74,0.06313,0.00178
17797,2.38,-113.58,-180.01,-37.13,0.06303,0.00178
17847,2.38,-114.76,-177.07,-35.50,0.06294,0.00177
17899,2.38,-116.06,-174.07,-33.85,0.06300,0.00178
17950,2.14,-116.97,-170.91,-32.20,0.06298,0.00178
18000,2.14,-117.53,-167.63,-30.53,0.06289,0.00177
